Date,Price
31-01-96,183992.0343
29-02-96,178934.9969
31-03-96,177687.123
30-04-96,175233.9138
31-05-96,176664.9931
30-06-96,172640.5624
31-07-96,187849.0068
31-08-96,185353.9295
30-09-96,185141.5021
31-10-96,189065.8403
30-11-96,180859.6821
31-12-96,179945.5012
31-01-97,174161.2064
28-02-97,162075.0582
31-03-97,164807.2329
30-04-97,161807.1503
31-05-97,162683.0335
30-06-97,163204.9917
31-07-97,168816.2075
31-08-97,176978.2247
30-09-97,175197.9466
31-10-97,179136.8585
30-11-97,178022.2254
31-12-97,179881.8023
31-01-98,178685.152
28-02-98,174441.2709
31-03-98,178604.132
30-04-98,183156.1486
31-05-98,188121.3804
30-06-98,193945.7616
31-07-98,196743.5706
31-08-98,197353.8533
30-09-98,202136.2479
31-10-98,206885.7571
30-11-98,196585.0696
31-12-98,196342.0205
31-01-99,211136.2791
28-02-99,207736.427
31-03-99,207131.528
30-04-99,211366.8855
31-05-99,201598.452
30-06-99,204628.7228
31-07-99,204140.5863
31-08-99,204141.277
30-09-99,202705.6745
31-10-99,203177.7458
30-11-99,208435.6266
31-12-99,208518.5914
31-01-00,211461.3097
29-02-00,213843.2646
31-03-00,208116.015
30-04-00,207459.5646
31-05-00,209731.7738
30-06-00,209339.3504
31-07-00,217289.4824
31-08-00,222065.9431
30-09-00,230396.1087
31-10-00,228046.3623
30-11-00,230660.8166
31-12-00,233119.1386
31-01-01,238974.3516
28-02-01,237026.3431
31-03-01,240708.7748
30-04-01,243579.3329
31-05-01,247937.1357
30-06-01,253037.9243
31-07-01,253327.7355
31-08-01,252106.1166
30-09-01,261582.3238
31-10-01,263350.8081
30-11-01,264325.2245
31-12-01,264829.4451
31-01-02,271805.0722
28-02-02,275296.351
31-03-02,278558.0899
30-04-02,282071.7154
31-05-02,287283.2726
30-06-02,288835.7632
31-07-02,292801.7552
31-08-02,293617.7172
30-09-02,297847.7198
31-10-02,300490.908
30-11-02,303262.7231
31-12-02,306267.4106
31-01-03,308910.1945
28-02-03,304107.1951
31-03-03,311549.8893
30-04-03,314426.4056
31-05-03,313499.2062
30-06-03,319517.9503
31-07-03,322497.0047
31-08-03,334270.0604
30-09-03,338597.6209
31-10-03,346301.2915
30-11-03,343712.5494
31-12-03,348282.0304
31-01-04,357073.5948
29-02-04,367197.1375
31-03-04,372081.3807
30-04-04,380977.8481
31-05-04,382529.0159
30-06-04,376497.7125
31-07-04,380499.6502
31-08-04,381610.3003
30-09-04,395106.7939
31-10-04,389217.5105
30-11-04,392479.0519
31-12-04,400273.9403
31-01-05,403005.1941
28-02-05,406686.9916
31-03-05,416275.4316
30-04-05,424325.7188
31-05-05,426160.1374
30-06-05,437797.6224
31-07-05,439436.3486
31-08-05,439345.7741
30-09-05,441897.41
31-10-05,451991.4131
30-11-05,449578.7097
31-12-05,451091.8248
31-01-06,451108.463
28-02-06,453402.3749
31-03-06,452657.4767
30-04-06,448158.7207
31-05-06,450307.8424
30-06-06,453304.7792
31-07-06,444823.5597
31-08-06,440145.271
30-09-06,444131.0975
31-10-06,436052.6802
30-11-06,423865.033
31-12-06,422438.3163
31-01-07,419946.3886
28-02-07,425564.3863
31-03-07,427584.5841
30-04-07,425446.5856
31-05-07,412806.3694
30-06-07,409627.1673
31-07-07,425041.1291
31-08-07,419564.3854
30-09-07,424139.7765
31-10-07,416650.1663
30-11-07,411034.3366
31-12-07,395404.2043
31-01-08,391979.0709
29-02-08,375008.5662
31-03-08,378937.9177
30-04-08,361844.6138
31-05-08,353681.0307
30-06-08,353952.797
31-07-08,334936.5345
31-08-08,330210.2816
30-09-08,306316.1006
31-10-08,291649.3117
30-11-08,285109.1944
31-12-08,272858.0501
31-01-09,251152.2294
28-02-09,247743.9289
31-03-09,233978.1675
30-04-09,227845.1098
31-05-09,227162.5594
30-06-09,228676.108
31-07-09,231566.7435
31-08-09,235878.2013
30-09-09,241068.1032
31-10-09,239657.6344
30-11-09,240534.5445
31-12-09,252613.2515
31-01-10,246614.3087
28-02-10,244140.4169
31-03-10,243796.1562
30-04-10,256303.7524
31-05-10,250725.2374
30-06-10,248378.2704
31-07-10,253069.8296
31-08-10,248154.3899
30-09-10,239088.1613
31-10-10,237389.4915
30-11-10,223410.2727
31-12-10,229658.7605
31-01-11,220519.4786
28-02-11,217064.0582
31-03-11,218901.3279
30-04-11,220800.0075
31-05-11,216102.8671
30-06-11,207632.2209
31-07-11,196979.9656
31-08-11,196864.1193
30-09-11,194078.9325
31-10-11,193709.1967
30-11-11,202215.6675
31-12-11,196869.6153
31-01-12,194935.8561
29-02-12,199404.0228
31-03-12,207060.2705
30-04-12,208444.0514
31-05-12,215037.7527
30-06-12,210544.9817
31-07-12,218639.3589
31-08-12,220733.9925
30-09-12,207228.6452
31-10-12,216210.2369
30-11-12,216238.6341
31-12-12,222762.8517
31-01-13,222293.3799
28-02-13,226613.6715
31-03-13,242843.0571
30-04-13,250853.783
31-05-13,266023.0334
30-06-13,277890.7258
31-07-13,276958.2947
31-08-13,295863.2936
30-09-13,292547.2867
31-10-13,302230.0889
30-11-13,323911.4006
31-12-13,326226.893
31-01-14,338647.0492
28-02-14,356566.8591
31-03-14,356589.0432
30-04-14,350506.7058
31-05-14,354056.0654
30-06-14,354964.7175
31-07-14,353541.5487
31-08-14,351091.4524
30-09-14,354762.6478
31-10-14,357630.9465
30-11-14,357390.9956
31-12-14,360300.6335
31-01-15,354199.5645
28-02-15,360658.9258
31-03-15,367734.6465
30-04-15,373415.5369
31-05-15,379877.4825
30-06-15,381472.889
31-07-15,384024.2611
31-08-15,390947.6613
30-09-15,405714.0089
31-10-15,408499.7257
30-11-15,418458.9777
31-12-15,424800.4572
31-01-16,453008.4315
29-02-16,446740.167
31-03-16,449656.2959
30-04-16,456306.6015
31-05-16,457344.7
30-06-16,466495.3819
31-07-16,448418.7598
31-08-16,456670.0714
30-09-16,462502.9382
31-10-16,470300.4537
30-11-16,474240.5621
31-12-16,482065.1587
31-01-17,508503.728
28-02-17,515723.8312
31-03-17,524699.1773
30-04-17,535645.1054
31-05-17,545237.2007
30-06-17,542185.4926
31-07-17,539795.373
31-08-17,532431.7761
30-09-17,537468.5289
31-10-17,542848.8316
30-11-17,541539.1091
31-12-17,553598.5317
31-01-18,561018.4435
28-02-18,584715.5618
31-03-18,592595.7019
30-04-18,598384.6741
31-05-18,599860.1387
30-06-18,605934.6282
31-07-18,582456.0438
31-08-18,602347.3569
30-09-18,617422.9299
31-10-18,634103.3469
30-11-18,622699.0333
31-12-18,631472.8723
31-01-19,630516.264
28-02-19,632809.9988
31-03-19,635985.7898
30-04-19,634210.0951
31-05-19,637795.8841
30-06-19,642809.4743
31-07-19,619075.7249
31-08-19,612027.8142
30-09-19,604003.4933
31-10-19,626070.7101
30-11-19,622351.4408
31-12-19,628379.137
31-01-20,623524.7269
29-02-20,632803.5927
31-03-20,642858.3384
30-04-20,652484.0991
31-05-20,638681.1982
30-06-20,646325.0046
31-07-20,676140.7716
31-08-20,703708.2788
30-09-20,715444.9846
31-10-20,722509.6318
30-11-20,713792.4982
31-12-20,744469.0588
31-01-21,733981.7641
28-02-21,770540.2494
31-03-21,782158.1648
30-04-21,795308.7208
31-05-21,797543.1155
30-06-21,835856.2142
31-07-21,844680.4475
31-08-21,818241.0828
30-09-21,778620.4935
31-10-21,781253.9867
30-11-21,787725.5655
31-12-21,786995.5174
31-01-22,812339.0242
28-02-22,817895.7591
31-03-22,865358.151
30-04-22,869453.853
31-05-22,851362.3185
30-06-22,815151.4639
