Date,Price
31-01-96,174011.3922
29-02-96,175970.5486
31-03-96,176822.8795
30-04-96,178408.7697
31-05-96,179482.0218
30-06-96,181744.076
31-07-96,183662.0249
31-08-96,185095.8284
30-09-96,186443.7709
31-10-96,187476.7142
30-11-96,189246.1043
31-12-96,192421.514
31-01-97,194075.5583
28-02-97,195334.8081
31-03-97,197916.0749
30-04-97,201103.8989
31-05-97,203428.1809
30-06-97,205801.2883
31-07-97,208482.325
31-08-97,208566.4184
30-09-97,211838.0783
31-10-97,214289.6372
30-11-97,215900.2439
31-12-97,217043.1097
31-01-98,216485.1329
28-02-98,217164.9978
31-03-98,216939.9856
30-04-98,217079.7966
31-05-98,220389.3729
30-06-98,220958.1708
31-07-98,222661.8979
31-08-98,224142.2767
30-09-98,226130.0103
31-10-98,228189.3382
30-11-98,227447.572
31-12-98,229949.3431
31-01-99,227509.1193
28-02-99,229088.6605
31-03-99,231829.8248
30-04-99,233065.839
31-05-99,235503.8836
30-06-99,237315.8328
31-07-99,238278.7211
31-08-99,239156.0171
30-09-99,246694.0575
31-10-99,246766.8008
30-11-99,249650.5621
31-12-99,247168.9468
31-01-00,250433.8895
29-02-00,253129.0965
31-03-00,255659.5249
30-04-00,258629.0738
31-05-00,260410.9815
30-06-00,260634.3195
31-07-00,262714.5162
31-08-00,263180.1642
30-09-00,266336.8713
31-10-00,267115.1047
30-11-00,266874.4385
31-12-00,269175.3859
31-01-01,269934.0993
28-02-01,271485.1707
31-03-01,272522.4887
30-04-01,277537.8166
31-05-01,279913.0934
30-06-01,282655.1852
31-07-01,285188.0151
31-08-01,287594.7159
30-09-01,291005.6423
31-10-01,294127.1811
30-11-01,297979.8833
31-12-01,300090.3666
31-01-02,301536.3107
28-02-02,302690.7773
31-03-02,308655.3709
30-04-02,309671.1841
31-05-02,314355.344
30-06-02,318618.4941
31-07-02,322139.556
31-08-02,323165.1779
30-09-02,324892.3171
31-10-02,329908.1215
30-11-02,330119.0744
31-12-02,331567.3062
31-01-03,335789.6954
28-02-03,335736.425
31-03-03,339942.9539
30-04-03,343704.0788
