Date,Price
31-01-96,191011.3635
29-02-96,192316.2851
31-03-96,190654.1577
30-04-96,191905.3462
31-05-96,194219.0758
30-06-96,193906.5381
31-07-96,193254.8209
31-08-96,193181.7928
30-09-96,194878.919
31-10-96,188120.5906
30-11-96,187850.9036
31-12-96,187163.8172
31-01-97,185086.1618
28-02-97,186609.3231
31-03-97,188297.0098
30-04-97,190439.1181
31-05-97,190991.2827
30-06-97,187089.02
31-07-97,189707.2353
31-08-97,191337.1408
30-09-97,189228.8508
31-10-97,190496.902
30-11-97,188291.1228
31-12-97,186718.5302
31-01-98,188440.3329
28-02-98,191021.1999
31-03-98,193263.6971
30-04-98,193974.6272
31-05-98,197105.702
30-06-98,191013.3928
31-07-98,192258.2308
31-08-98,195265.9066
30-09-98,197780.141
31-10-98,198393.0915
30-11-98,198771.1296
31-12-98,199100.98
31-01-99,194718.8965
28-02-99,195822.2876
31-03-99,193179.2867
30-04-99,199898.5202
31-05-99,203109.2817
30-06-99,207097.8769
31-07-99,212990.6896
31-08-99,211768.3926
30-09-99,213469.8252
31-10-99,214425.8365
30-11-99,213961.1174
31-12-99,217503.9171
31-01-00,217452.8925
29-02-00,219508.9268
31-03-00,220873.4827
30-04-00,220379.6594
31-05-00,221954.7163
30-06-00,224243.8941
31-07-00,228732.152
31-08-00,228474.6535
30-09-00,227570.5249
31-10-00,229406.3599
30-11-00,230740.188
31-12-00,231926.3539
31-01-01,239935.1288
28-02-01,238918.2371
31-03-01,233900.8401
30-04-01,235230.6521
31-05-01,235854.1142
30-06-01,236905.8119
31-07-01,240393.3346
31-08-01,236869.7676
30-09-01,245481.1191
31-10-01,247504.9376
30-11-01,249132.4558
31-12-01,251908.0499
31-01-02,251455.3395
28-02-02,254729.2113
31-03-02,255350.35
30-04-02,257961.6295
31-05-02,261353.3802
30-06-02,259595.4358
31-07-02,261936.8303
31-08-02,265701.8707
30-09-02,266459.9303
31-10-02,270677.5257
30-11-02,268636.3682
31-12-02,268184.6203
31-01-03,266236.2294
28-02-03,265195.379
31-03-03,268610.3119
30-04-03,272703.5919
31-05-03,272911.8633
30-06-03,275441.067
31-07-03,278057.7857
31-08-03,280897.3853
30-09-03,280306.2956
31-10-03,281365.9549
30-11-03,282472.2235
31-12-03,282305.1719
31-01-04,286930.2337
29-02-04,289323.8753
31-03-04,296051.699
30-04-04,295452.0792
